,emotion,pixels
58,1.0,[224. 224. 224. ... 230. 230. 230.]
59,5.0,[225.  10.   5. ... 247. 247. 247.]
60,6.0,[59. 59. 59. ... 31. 31. 31.]
61,1.0,[45. 54. 59. ...  2.  0.  1.]
62,2.0,[ 33.  17.  17. ... 232. 200. 201.]
63,8.0,[104. 104. 106. ...  29.  30.  32.]
64,8.0,[31. 15. 15. ... 60. 26. 25.]
65,2.0,[122. 185. 158. ...   2.   2.   0.]
66,5.0,[105.  75.  64. ... 183. 187. 196.]
67,6.0,[  5.   5.   7. ...  94. 159. 201.]
68,8.0,[39. 35. 32. ... 36. 30. 18.]
69,2.0,[195. 171.  99. ... 173. 118.  61.]
70,6.0,[ 24.  13.  21. ...  44. 117. 158.]
71,6.0,[168. 168. 168. ... 241. 241. 241.]
72,2.0,[246. 246. 246. ... 255. 255. 255.]
73,2.0,[ 94.  71.  53. ... 182. 132. 144.]
74,6.0,[ 4.  0.  1. ... 43. 15. 11.]
75,1.0,[ 19.  13.   0. ... 199. 172. 145.]
76,5.0,[0. 0. 0. ... 0. 0. 0.]
77,4.0,[172. 178.  20. ...  39. 168. 137.]
78,6.0,[ 55.  73. 121. ...  63.  80. 134.]
79,8.0,[162. 150. 134. ...  43.  61. 173.]
80,5.0,[76. 42. 40. ... 84. 73. 53.]
81,1.0,[132. 122.  86. ... 100.  81.  49.]
82,5.0,[190. 151. 170. ... 229. 164. 206.]
83,5.0,[248. 245. 252. ...  54.  42.  54.]
84,6.0,[ 76.  65.  37. ... 225. 221. 218.]
85,5.0,[189. 189. 189. ... 255. 255. 253.]
86,2.0,[15. 29. 56. ... 18. 30. 54.]
87,7.0,[ 51.  46.  42. ... 107.  33.  58.]
88,3.0,[101.  91.  90. ... 226. 193. 124.]
89,5.0,[255. 255. 255. ... 255. 255. 255.]
90,5.0,[178. 176. 187. ... 213. 214. 216.]
91,6.0,[205. 181. 137. ... 111. 127. 126.]
92,7.0,[118. 124. 122. ... 195. 169. 134.]
93,3.0,[244. 242. 245. ...  28.  15.   6.]
94,7.0,[215. 207. 204. ... 173. 135. 122.]
95,7.0,[ 29.  80. 123. ...  27.  70. 112.]
96,7.0,[243. 253. 255. ... 195. 171. 145.]
97,2.0,[223. 226. 181. ...  21.  24.  41.]
98,8.0,[78. 46. 21. ... 70. 49. 32.]
99,7.0,[ 96. 180. 224. ...  85. 140. 205.]
100,2.0,[201. 216. 213. ... 108. 121. 127.]
101,3.0,[255. 255. 255. ... 140. 155. 178.]
102,8.0,[246. 244. 245. ...  87.  73.  73.]
103,1.0,[253. 251. 254. ... 204. 193. 175.]
104,4.0,[25. 25. 15. ... 33. 23. 13.]
105,2.0,[57. 40. 30. ... 22. 10. 10.]
106,1.0,[108.  83. 102. ...  20.   3.   9.]
107,6.0,[255. 255. 255. ... 247. 244. 253.]
108,1.0,[115. 110. 114. ... 112. 107. 111.]
109,1.0,[140. 153. 162. ...  91.  74.  84.]
110,6.0,[192. 222. 233. ... 250.  22. 111.]
111,1.0,[242. 246. 247. ... 246. 244. 247.]
112,2.0,[ 46. 134. 156. ...  63.  56.  50.]
113,6.0,[ 37.  27.  25. ... 251. 253. 248.]
114,1.0,[219. 231. 229. ... 219. 229. 220.]
115,3.0,[217. 193. 131. ... 211. 194. 148.]
116,2.0,[246. 254. 255. ...  59.  62.  67.]
117,5.0,[250. 252. 251. ...  10.  10.   0.]
118,5.0,[ 9.  8.  3. ... 29. 23. 25.]
119,2.0,[156. 136. 109. ...  70.  67.  50.]
120,6.0,[  1.   1.   3. ... 174. 187. 206.]
121,2.0,[255. 255. 255. ... 255. 233. 219.]
122,8.0,[ 38.  35.  30. ... 183. 148. 110.]
123,5.0,[195. 195. 195. ... 119. 119. 119.]
124,7.0,[107. 107. 107. ...  43.  43.  43.]
125,2.0,[228. 232. 244. ... 150. 119.  88.]
126,3.0,[1. 2. 6. ... 3. 5. 4.]
127,6.0,[248. 255. 247. ...  65. 115. 188.]
128,8.0,[236. 236. 236. ... 188. 188. 188.]
129,6.0,[241. 245. 254. ... 241. 245. 254.]
130,2.0,[145. 135. 123. ... 244. 210. 183.]
131,5.0,[51. 44. 51. ... 61. 35. 44.]
132,8.0,[ 1.  1.  1. ... 40. 40. 40.]
133,4.0,[215. 211. 208. ... 215. 220. 213.]
134,3.0,[126. 124. 127. ... 175.  48.  15.]
135,6.0,[13. 22. 17. ... 36. 24. 28.]
136,4.0,[ 37.  53.  53. ... 223. 208. 203.]
137,5.0,[255. 255. 255. ... 255. 255. 255.]
138,6.0,[10. 10.  8. ... 11. 13. 12.]
139,5.0,[254. 254. 254. ... 201. 177. 141.]
140,8.0,[ 94. 103.  98. ... 184. 140. 129.]
141,1.0,[ 1.  1.  1. ... 58. 68. 80.]
142,6.0,[188. 180. 159. ... 173. 139. 102.]
143,4.0,[ 7.  7. 15. ... 40. 55. 48.]
144,8.0,[200. 195. 189. ...   5.   6.  10.]
145,3.0,[189. 152. 195. ... 202. 177. 123.]
146,4.0,[207. 185. 135. ... 117. 112. 116.]
147,5.0,[233. 210. 204. ... 244. 233. 231.]
148,5.0,[ 69.  65.  66. ... 125. 132. 116.]
149,5.0,[106. 111. 105. ...  60.  55.  59.]
150,4.0,[137. 137. 137. ...  14.  14.  14.]
151,7.0,[53. 28. 24. ... 61. 67. 79.]
152,3.0,[131. 131. 131. ... 110. 110. 110.]
153,2.0,[225. 219. 219. ...  23.  23.  25.]
154,7.0,[252. 253. 248. ...   1.   1.   1.]
155,6.0,[92. 64. 50. ... 33. 33. 35.]
156,2.0,[  1. 131. 189. ... 164. 120.  85.]
157,2.0,[147. 103.  68. ...  86.  98. 124.]
158,2.0,[191. 186. 206. ... 234.  71.  54.]
159,1.0,[68. 76. 79. ... 12.  0.  0.]
160,1.0,[243. 244. 238. ... 234. 235. 230.]
161,5.0,[ 46.  16.  18. ... 218. 137. 120.]
162,3.0,[131. 112. 105. ...  89.  56.  51.]
163,3.0,[ 54.  40.  39. ... 130. 118. 102.]
164,4.0,[145. 142. 133. ...  88. 134. 150.]
165,3.0,[ 78.  85. 101. ... 245. 225. 216.]
166,3.0,[136. 127. 122. ...  27.  25.  30.]
167,3.0,[231. 164.  96. ... 252. 225. 208.]
168,7.0,[209. 210. 205. ...  74.  70.  69.]
169,3.0,[ 99.  92.  73. ... 145.  12.  15.]
170,6.0,[ 59.  87.  38. ... 214. 183. 189.]
171,8.0,[  0.   0.   0. ... 120. 132. 172.]
172,1.0,[240. 238. 241. ...  24.  24.  24.]
173,7.0,[ 49.  49.  47. ... 130. 128. 115.]
174,1.0,[57. 37. 26. ... 49. 45. 34.]
175,1.0,[185. 173. 175. ...  60.  53.  61.]
176,1.0,[127. 135. 114. ... 119. 126. 108.]
177,2.0,[43. 51. 38. ...  7.  3.  0.]
178,1.0,[246. 246. 248. ...  70.  47.  67.]
179,6.0,[239. 235. 236. ... 242.  68.  69.]
180,4.0,[ 36.  60.  44. ... 234. 234. 232.]
181,3.0,[ 0.  0.  0. ... 20.  2. 44.]
182,5.0,[ 30.  16.  13. ... 242. 220. 206.]
183,8.0,[18. 18. 18. ... 18. 18. 18.]
184,3.0,[186. 190. 176. ...  23.  22.  18.]
185,5.0,[169. 159. 170. ... 215. 217. 229.]
186,7.0,[0. 0. 0. ... 4. 4. 4.]
187,7.0,[155. 161. 159. ... 231. 241. 250.]
188,6.0,[  6.  13.   6. ... 102.  35.   8.]
189,3.0,[185. 189. 201. ...   2.   3.   8.]
190,2.0,[ 22.  14.  38. ... 172. 155. 129.]
191,8.0,[62. 53. 44. ...  2. 18. 77.]
192,4.0,[ 0.  0. 34. ...  0.  0. 20.]
193,4.0,[34.  0.  0. ...  0.  0.  0.]
194,6.0,[22. 27. 33. ... 43. 26. 42.]
195,3.0,[161. 134. 117. ... 152. 131. 162.]
196,7.0,[140. 139. 134. ... 139. 138. 134.]
197,5.0,[  7.   5.   8. ... 189. 135.  63.]
198,6.0,[ 21.  18.  25. ... 228. 232. 218.]
199,7.0,[173. 143. 132. ...  14.  14.  14.]
200,6.0,[253. 253. 251. ...  15.  12.  19.]
201,8.0,[60. 48. 22. ... 10.  8.  9.]
202,2.0,[ 57.  53.  44. ... 203. 135. 158.]
203,5.0,[19. 10. 13. ...  1.  5.  8.]
204,1.0,[191. 183. 207. ... 184.  59.  27.]
205,4.0,[223. 224. 210. ...  15.  10.   6.]
206,6.0,[ 92. 125. 118. ...  15.  23.  26.]
207,6.0,[195. 185. 150. ...  73.  57.  44.]
208,1.0,[134. 117.  91. ... 112.  62.  27.]
209,6.0,[148. 148. 136. ... 122.  86.  74.]
210,8.0,[ 45.  10.   6. ... 185. 129. 114.]
211,2.0,[208. 204. 201. ... 174. 116.  78.]
212,5.0,[ 58.  25.  16. ...  59. 118.  98.]
213,2.0,[214. 214. 214. ... 130. 130. 130.]
214,5.0,[  8.   8.   8. ... 209. 204. 201.]
215,4.0,[ 63.  48.  27. ... 246.  79.  86.]
216,8.0,[104. 133. 105. ...  21.  24.  77.]
217,5.0,[12. 15.  6. ... 39. 52. 42.]
218,7.0,[215. 218. 227. ... 206. 204. 205.]
219,2.0,[108.  88.  99. ...  52.  56.  55.]
220,3.0,[199. 178. 157. ...  65.  82.  63.]
221,3.0,[36. 38. 27. ... 65. 58. 42.]
222,3.0,[ 32.  37.  33. ...  16. 113.  59.]
223,5.0,[ 8.  9. 11. ... 29. 23. 25.]
224,5.0,[255. 255. 234. ... 255. 255. 255.]
225,8.0,[ 95.  93. 106. ...  31.  39.  60.]
226,7.0,[29. 33. 36. ... 67. 65. 68.]
227,3.0,[ 14.  12.  17. ... 235. 215. 204.]
228,6.0,[255. 255. 255. ... 142.  98.  63.]
229,6.0,[147.  71.  37. ...   3.   3.   3.]
230,4.0,[244. 242. 227. ...  92.  61.  59.]
231,3.0,[19. 32. 41. ... 19. 24. 46.]
232,3.0,[125.  54.  24. ...  51.  19.   8.]
233,5.0,[ 71.  45.  48. ...  80.  98. 138.]
234,1.0,[56. 45. 13. ... 52. 49. 44.]
235,3.0,[111. 100.  94. ... 105. 107. 102.]
236,8.0,[ 76. 100. 102. ...  67.  73.  59.]
237,7.0,[137.   6.  14. ...   0.   5.   4.]
238,7.0,[94. 81. 72. ... 19. 25. 23.]
239,5.0,[123. 148. 144. ...  17.  35.  39.]
240,2.0,[183. 127.  50. ... 207. 143.  95.]
241,7.0,[ 2.  1.  0. ... 48. 16.  3.]
242,1.0,[254. 173. 117. ... 100.  58.  36.]
243,5.0,[ 37.  24.  15. ... 155. 102.  84.]
244,4.0,[ 0.  0.  0. ... 17. 18. 20.]
245,4.0,[175. 175. 173. ... 144. 143. 141.]
246,6.0,[244. 244. 244. ... 188. 219. 224.]
247,5.0,[173. 166. 156. ...  32.  29.  24.]
248,4.0,[164. 158. 170. ...  40.  35.  29.]
249,8.0,[45. 29. 29. ... 79. 73. 73.]
250,1.0,[178. 167. 137. ... 254. 131.  28.]
251,3.0,[ 61.  71.  47. ... 165. 212. 242.]
252,7.0,[ 28.  28.  38. ... 220. 173. 129.]
253,7.0,[238. 244. 154. ... 140. 129. 127.]
254,6.0,[202. 169. 128. ... 112. 118. 114.]
255,7.0,[221. 221. 221. ...  15.  20.  16.]
256,2.0,[0. 0. 0. ... 1. 1. 1.]
257,2.0,[151. 129. 115. ...  38.  29.  12.]
258,5.0,[128. 106.  93. ...  84.  32.  21.]
259,3.0,[201. 216. 223. ... 208. 162. 146.]
260,5.0,[16. 15. 11. ...  3.  3.  1.]
261,3.0,[141.  96.  73. ... 234. 233. 228.]
262,7.0,[68. 86. 34. ... 43. 54. 46.]
263,7.0,[118.  72.  56. ... 119. 156. 162.]
264,7.0,[250. 233. 163. ... 255. 251. 179.]
265,2.0,[101.  78.  70. ...  58.  35.  29.]
266,4.0,[238. 231. 221. ...   8.   9.   4.]
267,8.0,[95. 52. 69. ... 36. 30. 34.]
268,7.0,[ 74.  97. 139. ...  34.  31.  42.]
269,5.0,[ 83.  63.  38. ...  80. 106. 139.]
270,5.0,[119. 105. 102. ...  53.  43.  44.]
271,4.0,[176. 184. 203. ...  64.  64.  62.]
272,2.0,[147.  84.  49. ... 152.  94.  44.]
273,1.0,[87. 74. 39. ...  7.  8. 10.]
274,2.0,[194. 243. 222. ...  30.  40.  15.]
275,8.0,[15. 11.  2. ... 24.  9.  2.]
276,7.0,[45. 49. 34. ...  4.  5.  0.]
277,6.0,[80. 80. 80. ...  4.  4.  4.]
278,4.0,[255. 255. 255. ... 255. 255. 255.]
279,6.0,[ 25.  31.  27. ... 163. 151. 135.]
280,1.0,[ 1.  0. 14. ... 53. 35. 15.]
281,6.0,[199. 201. 196. ...  70.  34.  34.]
282,1.0,[255. 254. 198. ...  35.  32.  79.]
283,7.0,[86. 98. 94. ... 68. 81. 89.]
284,1.0,[117.  65.  43. ...  74.  43.  15.]
285,4.0,[255. 255. 255. ... 111. 212. 224.]
286,2.0,[85. 87. 84. ... 98. 99. 59.]
287,4.0,[214. 227. 236. ... 252. 218. 190.]
288,1.0,[166. 153. 160. ... 243. 204. 171.]
289,8.0,[ 6.  2.  1. ... 14.  1. 71.]
290,7.0,[ 0.  0.  0. ... 14.  1.  8.]
291,5.0,[240. 238. 225. ...  51.  38.  47.]
292,7.0,[167. 131. 107. ...  12.  11.   9.]
293,8.0,[85. 53. 28. ...  2.  2.  2.]
294,8.0,[ 0.  0.  0. ... 38. 35. 16.]
295,6.0,[234. 233. 229. ...  50.  24.   9.]
296,1.0,[38. 26. 10. ... 81. 76. 72.]
297,1.0,[ 57.  40.  30. ... 226. 161. 121.]
298,3.0,[ 62.  19.  12. ... 207.  42.  20.]
299,2.0,[206. 198. 195. ...  44.  19.  22.]
300,5.0,[63. 63. 63. ... 58. 58. 58.]
301,2.0,[27. 24. 51. ... 43. 28. 25.]
302,1.0,[202. 169. 116. ... 255. 195. 132.]
303,6.0,[209. 206. 201. ... 240. 241. 235.]
304,3.0,[ 17.  17.   9. ... 240. 217. 227.]
305,2.0,[255. 252. 255. ... 225. 235. 244.]
306,2.0,[241. 200. 216. ... 237. 201. 203.]
307,5.0,[255. 255. 255. ... 126. 220. 232.]
308,5.0,[219. 255.   0. ...  27.  31.  30.]
309,1.0,[21. 48. 65. ... 14. 18. 19.]
310,3.0,[ 20.  25.  67. ... 226.  58.  81.]
311,2.0,[ 50.  24.   7. ... 158. 137. 106.]
312,4.0,[216. 247. 252. ... 191. 223. 246.]
313,3.0,[ 40.  40.  28. ... 163. 114.  71.]
314,1.0,[ 0.  2. 17. ...  3.  9. 25.]
315,1.0,[119. 139. 148. ...  57.  56.  62.]
316,4.0,[196. 202. 202. ... 141.  94.  68.]
317,4.0,[187. 144. 127. ... 228. 172. 111.]
318,2.0,[108.  70.  34. ... 212. 188. 142.]
319,3.0,[53. 61. 63. ... 19. 20. 24.]
320,5.0,[255. 255. 255. ... 255. 255. 255.]
321,1.0,[153. 153. 153. ... 217. 217. 217.]
322,8.0,[207. 188. 181. ...  46.  36.  37.]
323,4.0,[ 89.  67.  79. ... 156. 158. 171.]
324,6.0,[129. 108.  55. ...   7.   6.   2.]
325,3.0,[ 4.  4.  4. ... 12. 17. 13.]
326,7.0,[255. 255. 255. ... 197. 197. 197.]
327,3.0,[ 92. 158. 172. ...  18.  52.  62.]
328,1.0,[30. 44. 45. ...  6. 18. 18.]
329,8.0,[34. 41. 49. ... 56. 57. 78.]
330,5.0,[253. 253. 253. ...  82.   3.   0.]
331,7.0,[99. 99. 25. ... 32. 32. 30.]
332,5.0,[79. 89. 78. ... 61. 25. 29.]
333,6.0,[161. 180. 148. ...  43.  36.  20.]
334,1.0,[ 57. 173. 173. ... 178. 115. 100.]
335,1.0,[127. 162.  80. ... 184. 133. 132.]
336,5.0,[0. 0. 0. ... 0. 0. 0.]
337,4.0,[255. 255. 255. ... 189. 204. 223.]
338,3.0,[190. 188. 189. ... 206. 146.  73.]
339,6.0,[227. 228. 220. ... 215. 182. 177.]
340,4.0,[  1.  17. 154. ... 236. 228. 252.]
341,1.0,[125.  95.  69. ... 105.  53.   5.]
342,3.0,[231. 222. 205. ... 176. 152. 126.]
343,3.0,[233. 248. 243. ...  43.  20.   4.]
344,8.0,[24. 20. 19. ... 56. 58. 57.]
345,3.0,[235. 235. 235. ... 234. 234. 232.]
346,5.0,[255. 255. 255. ...  51.  51.  51.]
347,5.0,[21. 12.  7. ...  3.  2.  0.]
348,8.0,[202. 187. 208. ...  31.  38.  48.]
349,3.0,[88. 88. 88. ... 50. 50. 50.]
350,3.0,[ 27.  29.  26. ... 105. 103. 116.]
351,6.0,[ 14.   8.  20. ... 157. 120.  93.]
352,7.0,[ 0. 10.  1. ... 40. 36. 50.]
353,7.0,[42. 42. 42. ... 25. 25. 25.]
354,1.0,[ 47.  46.  51. ... 243. 228. 207.]
355,5.0,[99. 88. 70. ... 39. 39. 27.]
356,8.0,[38. 33. 27. ... 42. 32. 33.]
357,3.0,[141. 120. 115. ... 247. 227. 255.]
358,1.0,[172. 115.  98. ... 106.  72.  88.]
359,1.0,[135. 130. 134. ...  78.  62.  65.]
360,1.0,[254. 254. 254. ... 183. 141. 116.]
361,6.0,[250. 249. 255. ...  36.  23.  32.]
362,6.0,[185. 203. 203. ... 153.  21.  16.]
363,1.0,[173. 157. 121. ... 225. 230. 249.]
364,2.0,[ 24.  22.  25. ... 173. 123. 100.]
365,3.0,[ 2.  3. 21. ...  8. 10. 23.]
366,4.0,[0. 0. 0. ... 3. 3. 3.]
367,3.0,[205. 206. 200. ... 253. 253. 253.]
368,4.0,[14. 18. 27. ... 56. 49. 90.]
369,6.0,[99. 85.  0. ... 29. 17.  1.]
370,7.0,[172. 169. 164. ... 153. 151. 139.]
371,4.0,[ 0.  0.  0. ... 57. 65. 84.]
372,8.0,[210. 218. 220. ... 185. 198. 206.]
373,2.0,[ 49.  45.  42. ... 239. 239. 241.]
374,1.0,[133. 115. 103. ... 188. 168. 161.]
375,2.0,[103.  87.  74. ...  44.  36.  33.]
376,1.0,[ 36.  30.  34. ... 213. 154.  52.]
377,4.0,[ 32.  31.  37. ... 187.  48.  55.]
378,8.0,[248. 248. 246. ... 247. 243. 232.]
379,2.0,[231. 227. 226. ...  29.  25.  26.]
380,8.0,[158. 147.  91. ...  47.  44.  29.]
381,1.0,[193. 175. 139. ... 191. 169. 132.]
382,6.0,[155. 132. 101. ... 130.  20.  23.]
383,7.0,[ 23.  25.  24. ... 130. 132. 127.]
384,2.0,[187.  47.  22. ... 225. 212. 193.]
385,2.0,[22. 16. 18. ... 84. 70. 59.]
386,4.0,[197. 180. 152. ... 184. 156. 132.]
387,7.0,[170. 170. 168. ...  93.  93.  93.]
388,5.0,[130. 104.  81. ... 165.   0.  16.]
389,4.0,[255. 209. 131. ...  33.  22.  20.]
390,4.0,[248. 254. 252. ...  27.  32.  54.]
391,6.0,[192. 165. 135. ... 110.  43.  35.]
392,1.0,[104.  99.  96. ... 255. 255. 255.]
393,2.0,[104. 106. 119. ... 249. 245. 242.]
394,3.0,[37. 39. 34. ... 16. 20. 23.]
395,5.0,[  1.   1.   1. ...  45. 168. 121.]
396,4.0,[187. 190. 163. ... 191.  75. 114.]
397,8.0,[13. 14. 16. ... 16. 28. 26.]
398,2.0,[3. 3. 3. ... 1. 1. 1.]
399,1.0,[221. 222. 216. ...   0.  12.  47.]
400,6.0,[97. 88. 73. ... 56. 47. 42.]
401,4.0,[77. 78. 83. ... 85. 85. 87.]
402,2.0,[248. 248. 248. ... 175. 161. 148.]
403,2.0,[101.  38.   0. ...  70.  36.   0.]
404,2.0,[ 29.  93.  93. ...   4. 164. 222.]
405,6.0,[ 34.  33.  28. ...  99. 104. 124.]
406,5.0,[18.  7. 13. ... 16. 16. 18.]
407,1.0,[111. 109. 110. ... 158. 157. 155.]
408,1.0,[162. 164. 153. ...  87.  67.  69.]
409,5.0,[228. 230. 229. ... 109. 101.  90.]
410,2.0,[164. 160. 149. ...  84.  52.  39.]
411,6.0,[64. 61. 46. ... 54. 49. 71.]
412,2.0,[ 20.  20.  54. ... 116. 103.  71.]
413,1.0,[15. 19. 31. ... 45. 44. 50.]
414,8.0,[227. 182.  63. ...  25.  24.  20.]
415,8.0,[196. 209. 215. ...  16.  16.  18.]
416,3.0,[102.  49.  43. ... 108. 110. 123.]
417,2.0,[246. 247. 242. ...  74.  92. 130.]
418,4.0,[213. 213. 213. ... 117. 166. 171.]
419,3.0,[  0.  33.  24. ... 110. 117. 101.]
420,6.0,[84. 73. 81. ... 34. 27. 71.]
421,3.0,[85. 48. 40. ... 11.  6.  3.]
422,4.0,[236. 224. 226. ... 211. 192. 186.]
423,1.0,[199. 185. 158. ... 178. 173. 141.]
424,2.0,[200. 205. 209. ... 251. 255. 254.]
425,2.0,[252. 252. 250. ... 180. 152. 138.]
426,5.0,[164. 164. 164. ... 211. 217. 217.]
427,7.0,[134. 149. 110. ...  51.  40.  48.]
428,5.0,[3. 3. 1. ... 2. 2. 0.]
429,4.0,[130. 114.  81. ...  39.  26.  43.]
430,4.0,[222. 226. 238. ... 201. 166. 147.]
431,6.0,[ 1.  0.  0. ... 17. 34. 54.]
432,2.0,[208. 205. 200. ...  79.  41.  28.]
433,4.0,[44. 37. 31. ... 82. 94. 92.]
434,2.0,[132. 128. 119. ... 131. 120. 102.]
435,4.0,[ 16.  23.  31. ... 255. 255. 255.]
436,7.0,[201. 178. 134. ...  50.  51.  46.]
437,2.0,[ 86.  90. 115. ...  30.  12.  12.]
438,1.0,[202. 202. 202. ... 141. 141. 141.]
439,4.0,[  0.  19.   0. ... 122. 150. 187.]
440,4.0,[201. 146. 139. ...  17.   1.   2.]
441,7.0,[148. 186. 225. ... 253. 254. 246.]
442,6.0,[231. 231. 231. ... 231. 231. 231.]
443,4.0,[ 86.  56.  32. ... 187.  66. 109.]
444,7.0,[202. 202. 202. ...  68.  68.  68.]
445,3.0,[244. 243. 249. ... 114. 102. 112.]
446,2.0,[236. 213. 199. ... 230.  99.  89.]
447,7.0,[187. 187. 197. ... 191. 175. 188.]
448,2.0,[138. 111.  81. ... 176. 128. 126.]
449,5.0,[ 63.  26.   0. ... 154. 158. 157.]
450,1.0,[182. 161. 142. ... 165. 158. 142.]
451,8.0,[142.  95. 103. ...  74.  49. 115.]
452,3.0,[181. 181. 181. ...  30.  30.  30.]
453,7.0,[ 8.  8. 10. ...  8.  8. 10.]
454,1.0,[140. 130. 129. ... 145. 135. 134.]
455,8.0,[194. 235. 217. ... 221. 173. 101.]
456,6.0,[72. 52. 51. ... 23. 26. 17.]
457,1.0,[141. 141. 141. ...   9.   9.   9.]
458,3.0,[215. 216. 218. ... 183. 183. 195.]
459,5.0,[232. 197. 169. ... 105.  74.  69.]
460,1.0,[123. 115. 104. ...  37.  27.  26.]
461,4.0,[ 77.  61.  46. ... 191. 170. 177.]
462,8.0,[ 22.  22.  22. ... 126. 126. 126.]
463,4.0,[206. 213. 221. ... 196. 197. 202.]
464,5.0,[226. 227. 222. ... 111.  79.  64.]
465,8.0,[ 12.  19.  12. ...  87.  87. 123.]
466,7.0,[118. 138. 162. ...  56.  51.  45.]
467,5.0,[ 11.  13.  12. ... 125. 117.  94.]
468,5.0,[63. 20.  3. ... 57.  9.  0.]
469,7.0,[223. 203. 178. ... 250. 238. 224.]
470,2.0,[234. 214. 189. ... 153. 149. 138.]
471,3.0,[12. 12. 10. ... 42. 32. 41.]
472,8.0,[208. 212. 215. ... 111.  91.  80.]
473,4.0,[103. 103.  29. ...  29.  28.  34.]
474,1.0,[231. 217. 191. ... 118.  91. 106.]
475,1.0,[110. 214. 165. ...  38. 182.  59.]
476,8.0,[ 68.  48.  37. ...  97. 107.  99.]
477,4.0,[44. 44. 44. ... 51. 51. 51.]
478,7.0,[95. 85. 76. ...  5.  7.  6.]
479,3.0,[250. 109. 126. ... 143. 138. 135.]
480,2.0,[ 48. 169. 178. ...  88. 112.  78.]
481,3.0,[50. 47. 38. ... 84. 68. 52.]
482,2.0,[132.  98.  24. ... 110.  80.  30.]
483,3.0,[188. 138. 113. ...  39.  44.  38.]
484,8.0,[ 26.  14.  14. ... 118. 124. 136.]
485,6.0,[ 55.  62.  70. ... 125. 134. 177.]
486,5.0,[ 45. 143. 234. ... 154. 193. 222.]
487,7.0,[9. 9. 9. ... 9. 9. 9.]
488,2.0,[228. 233. 229. ...  73.  69.  70.]
489,2.0,[186. 197. 193. ... 115.  98.  54.]
